site_name,bottle,NRRI_id,voltage,carbon,time,day,replicate,constituent,parameter,result_value,unit
"NRRI SED, VOLTAGE",MSC889BG,V1A0T2R3,TRUE,FALSE,Tf,14,3,SMHG,Hg201,0.445314636,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC890BG,V1A1T0R1,TRUE,TRUE,T0,0,1,SMHG,Hg201,0.109202599,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC891BG,V1A1T0R2,TRUE,TRUE,T0,0,2,SMHG,Hg201,0.148197286,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC892BG,V1A1T0R3,TRUE,TRUE,T0,0,3,SMHG,Hg201,0.131324453,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC893BG,V1A1T1R1,TRUE,TRUE,T1,1,1,SMHG,Hg201,0.035883242,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC894BG,V1A1T1R2,TRUE,TRUE,T1,1,2,SMHG,Hg201,0.204440319,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC895BG,V1A1T1R3,TRUE,TRUE,T1,1,3,SMHG,Hg201,0.217514364,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC896BG,V1A1T2R1,TRUE,TRUE,Tf,14,1,SMHG,Hg201,0.391167556,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC897BG,V1A1T2R2,TRUE,TRUE,Tf,14,2,SMHG,Hg201,0.204159276,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC898BG,V1A1T2R3,TRUE,TRUE,Tf,14,3,SMHG,Hg201,0.140209573,NG/G
"NRRI SED, CONTROL",MSC863BG,V0A0T0R1,FALSE,FALSE,T0,0,1,STHG,Hg201,21.42755383,NG/G
"NRRI SED, CONTROL",MSC864BG,V0A0T0R2,FALSE,FALSE,T0,0,2,STHG,Hg201,36.34774707,NG/G
"NRRI SED, CONTROL",MSC865BG,V0A0T0R3,FALSE,FALSE,T0,0,3,STHG,Hg201,19.75563127,NG/G
"NRRI SED, CONTROL",MSC866BG,V0A0T1R1,FALSE,FALSE,T1,1,1,STHG,Hg201,20.52935879,NG/G
"NRRI SED, CONTROL",MSC867BG,V0A0T1R2,FALSE,FALSE,T1,1,2,STHG,Hg201,22.14689001,NG/G
"NRRI SED, CONTROL",MSC868BG,V0A0T1R3,FALSE,FALSE,T1,1,3,STHG,Hg201,18.09436103,NG/G
"NRRI SED, CONTROL",MSC869BG,V0A0T2R1,FALSE,FALSE,Tf,14,1,STHG,Hg201,23.39817349,NG/G
"NRRI SED, CONTROL",MSC870BG,V0A0T2R2,FALSE,FALSE,Tf,14,2,STHG,Hg201,28.41647738,NG/G
"NRRI SED, CONTROL",MSC871BG,V0A0T2R3,FALSE,FALSE,Tf,14,3,STHG,Hg201,24.54547402,NG/G
"NRRI SED, ACTIVATED CARBON",MSC872BG,V0A1T0R1,FALSE,TRUE,T0,0,1,STHG,Hg201,33.86395373,NG/G
"NRRI SED, ACTIVATED CARBON",MSC875BG,V0A1T1R1,FALSE,TRUE,T1,1,1,STHG,Hg201,22.92497167,NG/G
"NRRI SED, ACTIVATED CARBON",MSC878BG,V0A1T2R1,FALSE,TRUE,Tf,14,1,STHG,Hg201,18.96828338,NG/G
"NRRI SED, VOLTAGE",MSC881BG,V1A0T0R1,TRUE,FALSE,T0,0,1,STHG,Hg201,40.63490696,NG/G
"NRRI SED, VOLTAGE",MSC882BG,V1A0T0R2,TRUE,FALSE,T0,0,2,STHG,Hg201,21.1919265,NG/G
"NRRI SED, VOLTAGE",MSC883BG,V1A0T0R3,TRUE,FALSE,T0,0,3,STHG,Hg201,30.85774539,NG/G
"NRRI SED, VOLTAGE",MSC884BG,V1A0T1R1,TRUE,FALSE,T1,1,1,STHG,Hg201,20.00351555,NG/G
"NRRI SED, VOLTAGE",MSC885BG,V1A0T1R2,TRUE,FALSE,T1,1,2,STHG,Hg201,34.65570822,NG/G
"NRRI SED, VOLTAGE",MSC886BG,V1A0T1R3,TRUE,FALSE,T1,1,3,STHG,Hg201,24.89092081,NG/G
"NRRI SED, VOLTAGE",MSC887BG,V1A0T2R1,TRUE,FALSE,Tf,14,1,STHG,Hg201,19.80429525,NG/G
"NRRI SED, VOLTAGE",MSC888BG,V1A0T2R2,TRUE,FALSE,Tf,14,2,STHG,Hg201,41.69525355,NG/G
"NRRI SED, VOLTAGE",MSC889BG,V1A0T2R3,TRUE,FALSE,Tf,14,3,STHG,Hg201,67.30169519,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC890BG,V1A1T0R1,TRUE,TRUE,T0,0,1,STHG,Hg201,27.85700386,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC891BG,V1A1T0R2,TRUE,TRUE,T0,0,2,STHG,Hg201,66.82879379,NG/G
